#(1)Station (2)Longitude (3)Latitude (4)Height

# Sumatra
IGLE,96.322208254,17.396967087,1.5181
KANI,94.846507333,22.434026601,39.2883
SATG,97.096941455,17.462415001,798.4747
SDWN,96.118963070,22.586476933,81.1847
SWBO,95.718053464,22.572396505,62.4016
WAAW,96.667168325,17.469376826,-37.4733
EW02,94.049820623,19.789877590,-31.9473
EW03,93.522403718,19.425824436,-29.0230
EW04,94.517384179,20.342758618,25.3010
EW05,95.028088505,20.332602441,127.0018
EW08,97.546974814,20.911340391,1350.0545
HEHO,96.794728934,20.725987397,1116.6490
M007,95.616513213,20.473539563,250.6067
M10E,96.216513014,20.478722662,179.2481
M10W,95.970972070,20.384462155,300.9557

# Bhutan
DEOT,91.463133598,26.859715876,823.5843
TASH,91.524101441,27.286581562,1815.4344

# India
ABNG,91.739441552,26.315989172,8.4750
CRPJ,91.691207718,25.271474832,1284.6527
DRNG,92.734379030,23.759749834,1254.8201
ICHA,88.736026460,22.899923373,-38.2960
KPRA,91.812193460,26.117689874,17.9244
MPUR,91.390918304,23.986483837,-27.4868
MTWR,91.833607195,25.563700616,1515.4207
